Machine Learning,Deep Learning,Python Language,Cyber security,Web
linear regression,neural network,python,burp suit,html
logistic regression,neural netwoks,numpy,metasploit,css
random forest,rnn,flask,ethical hacking,javascript
k means,cnn,pandas,web security,php
xgboost,recurrent neural networks,sklearn,web application security,laravel
svm,convolutional nueral networks,scikitlearn,mobile hacking,django
naïve bayes,object detection,matplotlib,phishing,jsp
pca,object identification,,email security,angular
 decesion trees,yolo,python language,penetration testing,angular js
svd,tenserflow,,vapt,react js
ensemble models,keras,,cyber security,
boltzman machine,opencv,,,
machine learning,gpu,,,
,cuda,,,
,deep learning,,,
